Fields classed as mixed,,
,,
Count of LCTYPE=1 means the same crop has been recorded twice for a field. Exclude for time being ,,
,,
Row Labels,Sum of AREA,Count of LCTYPE
NJ/83565/51092,1,2
NJ/83575/11780,4,2
NJ/83696/11959,4,2
NJ/84062/10761,6,2
NJ/84139/29375,0,2
NJ/84284/29117,8,2
NJ/84438/07847,6,2
NJ/84581/51977,24,2
NJ/84809/48497,9,2
NJ/84902/48203,7,2
NJ/85554/52750,4,2
NJ/85597/54267,23,2
NJ/85616/52200,4,2
NJ/85873/23181,12,2
NJ/85879/53919,18,2
NJ/87060/09691,2,2
NJ/87635/10005,6,2
NJ/88015/09737,28,2
NJ/88143/10269,8,2
NJ/88260/10239,6,2
NJ/88929/28679,4,2
NJ/89469/29411,10,2
NJ/90539/51224,8,2
NJ/90586/30100,5,2
NJ/90641/51466,7,2
NJ/90911/63629,7,2
NJ/91159/64217,8,2
NJ/91333/60966,1,2
NJ/91460/60853,8,2
NJ/91725/61246,5,2
NJ/91953/61428,5,2
NJ/92072/38878,19,2
NJ/92133/48473,6,2
NJ/92516/37011,8,2
NJ/93153/50330,4,2
NJ/93221/49576,29,2
NJ/93313/49155,7,2
NJ/93521/43371,1,2
NJ/93630/23221,20,2
NJ/93761/38621,3,2
NJ/93786/22435,20,2
NJ/93808/66219,5,2
NJ/93823/41955,7,2
NJ/93978/36226,19,2
NJ/94032/65787,10,2
NJ/94084/23450,10,2
NJ/94094/23628,8,2
NJ/94163/63632,1,2
NJ/94254/23744,6,2
NJ/94267/22846,8,2
NJ/94346/35634,11,2
NJ/94377/22624,16,2
NJ/94527/43204,1,2
NJ/94528/63710,8,2
NJ/94552/34504,60,2
NJ/94555/65023,11,2
NJ/94608/64839,0,2
NJ/94616/16589,12,2
NJ/94628/22793,10,2
NJ/94958/39271,7,2
NJ/94981/13576,5,2
NJ/94989/44388,16,2
NJ/95005/44777,22,2
NJ/95225/16564,9,2
NJ/95404/16814,7,2
NJ/95602/16133,2,2
NJ/96091/38318,39,2
NJ/96225/38633,7,2
NJ/96262/23650,9,2
NJ/96565/64451,4,2
NJ/96569/38274,25,2
NJ/96603/65014,14,2
NJ/96981/24937,3,2
NJ/97069/65044,24,2
NJ/97126/65913,8,2
NJ/97292/65398,8,2
NJ/97684/20147,4,2
NJ/98089/20608,4,2
NJ/99433/64864,56,2
NJ/99926/57447,1,2
NJ/99982/57807,0,2
NK/00104/57432,2,2
NK/00183/58047,2,2
NK/01116/56645,9,2
NK/01287/57085,2,2
NK/01574/56059,10,2
NK/01756/63072,13,2
NK/01990/63294,2,2
NK/02518/43301,17,2
NK/03011/37400,20,2
NK/03061/52571,6,2
NK/03091/43619,39,2
NK/03140/52183,9,2
NK/03954/48811,0,2
NK/04027/36050,13,2
NK/04205/47159,8,2
NK/04236/34855,3,2
NK/04236/49108,0,2
NK/04249/35556,16,2
NK/04490/47344,17,2
NK/04604/49028,6,2
NK/04621/46688,22,2
NK/04892/61782,14,2
NK/04928/47352,14,2
NK/05085/47064,10,2
NK/05238/49216,5,2
NK/05248/61981,12,2
NK/05272/61837,2,2
NK/05364/48815,4,2
NK/05547/46496,21,2
NK/05549/44187,12,2
NK/05746/52590,24,2
NK/06062/44065,24,2
NK/06091/42981,27,2
NK/06141/52049,12,2
NK/07683/49114,17,2
NK/07804/48199,0,2
NK/08172/53015,10,2
NK/08491/52822,8,2
NK/08835/53267,6,2
NN/63888/00117,10,2
NN/67395/39544,6,2
NN/71318/00629,15,2
NN/81323/48331,5,2
NN/83202/20911,6,2
NN/83394/21028,6,2
NN/83661/20568,10,2
NN/88728/18569,1,2
NN/88760/20065,10,2
NN/89095/18986,14,2
NN/89522/19396,9,2
NN/92579/12288,15,2
NN/94323/28699,8,2
NN/94771/17841,7,2
NN/95004/14123,6,2
NN/95342/29796,14,2
NN/95396/17111,12,2
NN/95438/13967,6,2
NN/95725/18236,20,2
NN/95773/18685,2,2
NN/96113/19435,5,2
NN/96115/19105,15,2
NN/96566/18283,4,2
NN/96664/19175,15,2
NN/98291/17586,9,2
NN/98442/18537,7,2
NN/98512/18081,1,2
NO/03894/16011,12,2
NO/03971/31748,0,2
NO/04066/31469,10,2
NO/04446/31552,8,2
NO/08556/00521,7,2
NO/08932/00334,6,2
NO/09215/41064,8,2
NO/09345/41373,10,2
NO/09460/21144,5,2
NO/09518/41018,15,2
NO/09728/40626,12,2
NO/09831/42344,2,2
NO/10086/41538,2,2
NO/10731/39528,17,2
NO/11333/39053,13,2
NO/11883/42904,27,2
NO/12859/36650,12,2
NO/13497/36176,9,2
NO/13681/07850,6,2
NO/13771/08510,10,2
NO/13794/16047,14,2
NO/14183/16006,5,2
NO/14282/08864,3,2
NO/14297/39440,8,2
NO/14334/08377,10,2
NO/14365/39057,21,2
NO/14518/08589,4,2
NO/15070/38540,4,2
NO/15307/40288,24,2
NO/15353/39091,6,2
NO/15565/40855,12,2
NO/15764/38734,30,2
NO/15892/39924,26,2
NO/15960/38235,8,2
NO/16149/38010,2,2
NO/16210/39303,2,2
NO/16213/09266,10,2
NO/16276/45407,16,2
NO/16307/44156,12,2
NO/16417/39100,10,2
NO/16635/08999,26,2
NO/16712/08451,18,2
NO/16792/10751,12,2
NO/16874/08588,18,2
NO/16887/09068,20,2
NO/16923/39266,43,2
NO/16997/09375,12,2
NO/17054/38745,2,2
NO/17064/39896,5,2
NO/17087/09132,10,2
NO/17168/10551,24,2
NO/17236/40434,15,2
NO/17285/41011,18,2
NO/17341/09536,16,2
NO/17386/40559,8,2
NO/17484/10306,9,2
NO/17566/09015,14,2
NO/17593/09730,15,2
NO/17663/09410,16,2
NO/17762/09117,12,2
NO/17945/09778,16,2
NO/18266/10348,28,2
NO/18350/09757,12,2
NO/18441/09907,14,2
NO/18764/10351,8,2
NO/18904/41708,0,2
NO/19134/10160,1,2
NO/19200/41441,30,2
NO/19236/34328,14,2
NO/19276/10575,6,2
NO/19321/42592,6,2
NO/19481/33485,2,2
NO/19545/17693,11,2
NO/19783/09692,5,2
NO/19980/19234,7,2
NO/20182/19538,16,2
NO/20399/18197,22,2
NO/20477/09835,1,2
NO/20588/00740,9,2
NO/20860/08189,2,2
NO/20890/10682,8,2
NO/20951/11740,12,2
NO/20988/01031,5,2
NO/21157/00918,7,2
NO/21291/08582,0,2
NO/21560/36855,7,2
NO/23631/26415,25,2
NO/24507/47677,3,2
NO/24584/47531,4,2
NO/24626/47869,4,2
NO/24768/16438,0,2
NO/25193/10496,2,2
NO/25362/48453,0,2
NO/25364/09885,12,2
NO/25436/47983,2,2
NO/25549/11155,12,2
NO/25571/17070,4,2
NO/25605/10663,2,2
NO/25671/16493,9,2
NO/25949/11210,28,2
NO/26164/12886,1,2
NO/26232/07045,7,2
NO/26542/07275,6,2
NO/26734/10079,18,2
NO/26918/10402,41,2
NO/27022/11975,20,2
NO/27352/19083,9,2
NO/27423/19722,10,2
NO/27908/06777,12,2
NO/27929/18279,4,2
NO/28017/11198,6,2
NO/28034/32905,1,2
NO/28140/10747,20,2
NO/28291/34106,2,2
NO/28387/10540,24,2
NO/28454/06297,2,2
NO/28490/10302,15,2
NO/28589/10777,34,2
NO/29571/26839,20,2
NO/29889/08058,6,2
NO/30090/26735,35,2
NO/30298/53828,9,2
NO/30342/08171,28,2
NO/30648/29134,7,2
NO/30874/54894,13,2
NO/32407/42668,9,2
NO/32538/43264,14,2
NO/32631/43587,8,2
NO/32658/43045,18,2
NO/32898/06960,22,2
NO/33087/29745,2,2
NO/33131/36354,18,2
NO/33334/35977,21,2
NO/33826/02866,2,2
NO/33863/15048,11,2
NO/34046/15231,10,2
NO/34357/03472,10,2
NO/34503/32006,11,2
NO/34533/19515,11,2
NO/34624/12567,12,2
NO/34638/03361,7,2
NO/35121/18563,11,2
NO/35141/32696,7,2
NO/35263/36573,6,2
NO/36295/38024,4,2
NO/36323/13360,14,2
NO/36513/56218,10,2
NO/36563/58496,17,2
NO/36580/24906,1,2
NO/36628/37747,3,2
NO/36651/13675,6,2
NO/37212/38405,8,2
NO/37266/38923,6,2
NO/37268/05187,7,2
NO/37331/38167,11,2
NO/37405/96615,6,2
NO/37416/35056,10,2
NO/37778/25358,5,2
NO/37806/25067,0,2
NO/37868/58932,3,2
NO/38319/43378,6,2
NO/38320/22333,14,2
NO/38324/24752,18,2
NO/38642/23008,4,2
NO/38675/59179,10,2
NO/38774/42787,5,2
NO/39066/25732,10,2
NO/39089/24349,15,2
NO/39146/23819,9,2
NO/39193/25509,7,2
NO/39434/50592,3,2
NO/39518/50343,5,2
NO/39740/24815,8,2
NO/39868/25578,0,2
NO/39955/57436,18,2
NO/40178/60415,1,2
NO/40382/57975,14,2
NO/40382/59452,5,2
NO/40519/25368,13,2
NO/40789/58793,8,2
NO/40915/18415,21,2
NO/41207/57357,14,2
NO/41741/37340,22,2
NO/41907/19772,33,2
NO/42334/59910,1,2
NO/42438/27251,3,2
NO/42512/59387,8,2
NO/42549/58247,6,2
NO/42676/27787,7,2
NO/43098/21048,3,2
NO/43210/50239,5,2
NO/43214/26274,4,2
NO/43335/27135,7,2
NO/44237/43874,0,2
NO/44352/43316,6,2
NO/44549/43787,9,2
NO/44662/44061,8,2
NO/44669/25338,2,2
NO/44705/45809,7,2
NO/44829/19455,3,2
NO/44899/45492,6,2
NO/47103/37966,9,2
NO/47640/34978,12,2
NO/47751/36885,15,2
NO/47936/37246,3,2
NO/47947/35250,10,2
NO/47973/35713,13,2
NO/48035/37604,24,2
NO/48298/43264,3,2
NO/48665/36318,20,2
NO/48719/35617,11,2
NO/50183/52218,9,2
NO/50567/42965,7,2
NO/50579/34783,11,2
NO/51057/42997,7,2
NO/51066/34462,33,2
NO/51390/33676,20,2
NO/51406/34837,1,2
NO/51612/34643,7,2
NO/51658/41975,7,2
NO/51689/05035,0,2
NO/51974/57867,12,2
NO/52538/35778,2,2
NO/53543/07277,12,2
NO/54599/13623,10,2
NO/54858/46536,19,2
NO/55072/56989,2,2
NO/55267/47265,23,2
NO/55623/56604,7,2
NO/56717/64840,10,2
NO/56966/58315,8,2
NO/57027/07607,8,2
NO/57046/57876,4,2
NO/57411/57606,1,2
NO/57777/57821,12,2
NO/58065/59783,8,2
NO/58139/65454,4,2
NO/58152/64612,21,2
NO/58167/65086,4,2
NO/58264/67205,4,2
NO/58459/59483,4,2
NO/58493/68627,13,2
NO/58583/65253,12,2
NO/58658/60360,9,2
NO/58662/59159,1,2
NO/58704/58503,8,2
NO/58821/59344,8,2
NO/59019/66665,11,2
NO/59021/59338,9,2
NO/59197/59118,14,2
NO/59338/07880,20,2
NO/59590/73607,2,2
NO/59605/42777,15,2
NO/59684/58909,4,2
NO/59755/42406,17,2
NO/59834/59248,2,2
NO/59972/58984,4,2
NO/59993/07999,43,2
NO/60077/66858,0,2
NO/60230/73082,4,2
NO/60309/66657,9,2
NO/60404/73230,2,2
NO/60406/66405,13,2
NO/60489/73755,8,2
NO/60633/73885,14,2
NO/60685/41290,10,2
NO/60856/73566,5,2
NO/60955/66248,2,2
NO/61098/74017,6,2
NO/61213/74704,10,2
NO/61254/73619,10,2
NO/61302/68059,9,2
NO/61373/73314,16,2
NO/61383/74304,14,2
NO/61391/73817,4,2
NO/61477/66611,9,2
NO/61497/93090,6,2
NO/61510/66225,18,2
NO/61657/67776,12,2
NO/61682/54878,19,2
NO/61790/53939,3,2
NO/61843/74492,10,2
NO/61852/70063,14,2
NO/62268/75209,4,2
NO/62508/53596,6,2
NO/62743/68979,17,2
NO/62772/75757,2,2
NO/62863/74329,4,2
NO/63006/74988,12,2
NO/63079/75955,2,2
NO/63109/75535,14,2
NO/63165/71710,21,2
NO/63249/74427,4,2
NO/63253/71078,18,2
NO/63490/69253,9,2
NO/63532/68587,6,2
NO/63838/68486,22,2
NO/64130/68369,17,2
NO/64226/51989,48,2
NO/64267/75127,2,2
NO/64350/76045,4,2
NO/64363/74135,11,2
NO/64392/68995,24,2
NO/64397/61318,2,2
NO/64502/75027,16,2
NO/64571/73962,6,2
NO/64683/86370,1,2
NO/64717/73915,4,2
NO/64752/76225,14,2
NO/65070/76726,3,2
NO/65084/51732,12,2
NO/65143/74564,22,2
NO/65153/91472,13,2
NO/65734/77348,7,2
NO/65866/88694,0,2
NO/66769/69078,29,2
NO/68848/56272,14,2
NO/68908/55850,25,2
NO/71010/74122,7,2
NO/71050/70437,9,2
NO/71089/64421,26,2
NO/71293/63338,6,2
NO/71294/73827,8,2
NO/71349/69892,20,2
NO/71473/69267,18,2
NO/71907/64510,6,2
NO/72339/64405,16,2
NO/72878/73536,8,2
NO/72901/62946,18,2
NO/73040/63482,0,2
NO/73116/73524,3,2
NO/73384/91287,5,2
NO/73465/96357,12,2
NO/73466/67210,12,2
NO/73599/95675,3,2
NO/73638/67616,7,2
NO/73693/95910,5,2
NO/73809/91650,10,2
NO/74026/79979,14,2
NO/74116/91596,4,2
NO/74123/67706,5,2
NO/74141/75962,8,2
NO/74228/95834,4,2
NO/74821/67853,10,2
NO/75322/92860,13,2
NO/75387/92527,6,2
NO/75447/65751,12,2
NO/75668/80605,8,2
NO/75718/74648,2,2
NO/75808/92527,6,2
NO/75979/77792,14,2
NO/78609/95165,5,2
NO/79138/84756,7,2
NO/79950/76208,1,2
NO/80052/69455,30,2
NO/80503/85911,12,2
NO/80704/85092,6,2
NO/80848/68691,5,2
NO/81193/85380,8,2
NO/81252/85816,10,2
NO/81564/84366,6,2
NO/82002/85219,16,2
NO/82584/81841,9,2
NO/82731/81527,8,2
NO/82736/85833,8,2
NO/82833/74396,0,2
NO/83151/85415,10,2
NO/83188/85774,10,2
NO/83233/74393,0,2
NO/83475/73811,21,2
NO/83523/85928,22,2
NO/83569/85056,6,2
NO/83651/86108,2,2
NO/83866/99843,2,2
NO/83909/86184,22,2
NO/83910/99567,6,2
NO/84082/84214,9,2
NO/86558/80311,6,2
NO/87027/90677,2,2
NO/87854/89019,6,2
NO/89939/91592,6,2
NO/91082/94540,2,2
NR/67773/38494,5,2
NS/19375/49973,11,2
NS/19705/49695,0,2
NS/20084/48706,24,2
NS/20216/49593,8,2
NS/20908/49197,3,2
NS/21433/07692,6,2
NS/21704/07755,10,2
NS/22005/08290,12,2
NS/22242/07559,8,2
NS/22268/08447,9,2
NS/22601/09414,6,2
NS/23110/03009,28,2
NS/23575/02956,18,2
NS/23700/04114,22,2
NS/23775/08527,22,2
NS/23893/02998,8,2
NS/24652/10911,28,2
