"","FID_1","modelLessVarsPredictedNoLabels"
"342","NT/57335/27935","WW"
"343","NT/59463/22572","SB"
"344","NT/58237/26647","WW"
"345","NT/58274/26218","PGRS"
"346","NT/57172/29795","PGRS"
"347","NT/58861/27844","PGRS"
"348","NT/56761/25524","WO"
"349","NT/58809/28709","SB"
"350","NT/58220/27963","WW"
"351","NT/58820/26418","PGRS"
"352","NT/58108/24288","WW"
"353","NT/57377/25960","WW"
"354","NT/58476/25182","WW"
"355","NT/58511/29428","PGRS"
"356","NT/58426/29408","PGRS"
"357","NT/57468/21167","WB"
"358","NT/57854/20199","PGRS"
"359","NT/59688/24619","SB"
"360","NT/57702/24063","PGRS"
"361","NT/59687/22770","WW"
"362","NT/57343/23015","PGRS"
"363","NT/57042/29965","PGRS"
"364","NT/57609/24550","PGRS"
"365","NT/56989/29713","PGRS"
"366","NT/57117/29596","PGRS"
"367","NT/58202/29267","WO"
"368","NT/58061/29452","SB"
"369","NT/58371/29322","PGRS"
"370","NT/58385/28225","PGRS"
"371","NT/57297/23931","PGRS"
"372","NT/57431/25038","PGRS"
"373","NT/59538/24752","WW"
"374","NT/58196/23763","PGRS"
"375","NT/58908/23879","PGRS"
"376","NT/59393/26622","SB"
"377","NT/58026/23946","PGRS"
"378","NT/59487/24226","PGRS"
"379","NT/59723/22452","WO"
"380","NT/56844/23829","PGRS"
"381","NT/57871/24021","PGRS"
"382","NT/59285/23210","SB"
"383","NT/59081/22605","SB"
"384","NT/57136/25457","PGRS"
"385","NT/57120/23187","PGRS"
"386","NT/58192/28481","WW"
"387","NT/59580/20619","WO"
"388","NT/58216/20488","WB"
"389","NT/57664/23016","PGRS"
"390","NT/56822/23604","WW"
"391","NT/59703/29782","WW"
"392","NT/58217/29537","PGRS"
"393","NT/58417/29879","PGRS"
"394","NT/58306/29655","PGRS"
"395","NT/58377/29724","PGRS"
"396","NT/56511/29783","PGRS"
"397","NT/58079/28185","WOSR"
"398","NT/59148/27712","PGRS"
